utterance,expected
"We can do tomorrow 5:30-6:30. Sorry I keep missing your calls. I'm at work. Should I text, call or just show up at that time?",tourBooking
We can schedule a tour .,tourBooking
We didn't get a notification or text or call we waited for the tour but wasn't givin any information how to do it,tourBooking
Wed Feb 17 11.30 am works for me,tourBooking
Wednesday work for u?,tourBooking
What about next Thursday?,tourBooking
What's the name of the place? And I would like to set up a tour,tourBooking
when can i come to see the place,tourBooking
Will be available tomorrow morning 10am. Thank you for your response,tourBooking
Would I be able to make another appointment for another day?,tourBooking
Would like a tour yes,tourBooking
"Yeah, I sure would. Thanks Ryan. Would 4pm work?",tourBooking
"yeah, tomorrow 3 pm works for me",tourBooking
yes but i'll have time again on Friday will get you back,tourBooking
"Yes I do like to have a tour
But I am in Houstan only for today and Saturday, please let me know if you can show me the property. Thanks Raza",tourBooking
Yes I would like a tour.,tourBooking
Yes I would like to schedule a tour,tourBooking
Yes I would like to schedule a tour but I also have a couple questions how long is the lease and how much is the rent?,tourBooking
Yes I would like to schedule a tour do you have any available,tourBooking
"Yes I would like to schedule at your, thanks for getting back to me. Is any time tomorrow available?",tourBooking
Yes I would love to schedule a tour and I do have a few questions,tourBooking
Yes Let's schedule a tour,tourBooking
Yes one for tomorrow at 2 o'clock,tourBooking
"Yes, I'd like to schedule a tour.",tourBooking
"Yes, I'll do Friday at 9 AM.",tourBooking
"Yes, please tomorrow 2pm is good for me",tourBooking
"Yes, please tomorrow 3pm is good for me",tourBooking
"Yes, would like to schedule a tour. I close from work at 5:30 p.m. Will be available after work. 
Thanks.",tourBooking
Yes! A tour would be great. Do you have any availabilities the week of April 5-11?,tourBooking
Yes. Schedule a tour tomorrow,tourBooking
"You mentioned tomorrow, is that still an option? If not, yes please register me for Saturday. I am very interested in seeing the place.",tourBooking
"Actually, I would like to cancel the tour, thank you.",tourCancellation
"Apologies. It's been hectic the past couple of days. I did, however, find another apartment, so I'd like to cancel my tour. Apologies again for the late response.",tourCancellation
Can we cancel it?,tourCancellation
Can you cancel I apologize for the inconvenience. I'll reschedule on my own.,tourCancellation
Can you cancel my tour,tourCancellation
Can you cancel my visit?,tourCancellation
cancel my appointment,tourCancellation
cancel my tour,tourCancellation
cancel the tour,tourCancellation
cancel tour,tourCancellation
Good Morning I am so sorry I have to cancel I was supposed to tell on Thursday I was so busy I would love to next Saturday I will be on that side of town Noon the same time 6/11 I am so sorry about the inconvenience,tourCancellation
"Hello ,its Benji, I'm sorry to inform you but I'll have to cancel the appointment due to something out of my control occuring. Sorry",tourCancellation
"Hello, I am very sorry but I would like to cancel the tour for personal reasons.",tourCancellation
"Hello, I have to cancel so sorry missed my flight",tourCancellation
"Hello! I'm so sorry but I'm gonna have to cancel, something came up and I'm not gonna be able to make it",tourCancellation
Hello. I'm not able to make appointment today.,tourCancellation
Hello. This is Woohyun. I think I'm going to have to cancel this appointment because I decided to go somewhere else this morning. I'm very sorry.,tourCancellation
"Hey Kelsey! I'm sorry, I tried to cancel it to avoid anyone waiting around on me! I'm from Georgia and can't tour in Texas. I think that the tour was scheduled ""just in case"" but I'm not in town!",tourCancellation
"Hey! I talked with the property assistant manager Jeanette and she got my squared away with an apartment with The Pointe, so we cancel the tour",tourCancellation
"Hi I need to cancel. I won't be able make it down. I'm an hour and
A half away and have to work tomorrow",tourCancellation
Hi my tour was cancelled because you guys said the unit is no longer available,tourCancellation
"Hi, good morning I have to cancel the tour y let you know on these week what day I can go sorry.",tourCancellation
"Hi, I have eliminated Santa Rosa from my locations. Pls cancel my appt tomorrow. Thank you",tourCancellation
"Hi, my apologies I am working at the moment. Unfortunately I'm going to have to cancel today's tour. I'm sorry for any inconvenience this causes. I hope to reach out at another time I'm available. Thanks for reaching out.",tourCancellation
"Hi! So sorry, I'm going to have to cancel this tour. I will be out of town the rest of the week. Thanks and apologies for any inconvenience!",tourCancellation
I am canceling the 500pm tour of 555 O’farrell on the 25 of February.,tourCancellation
I am going to have to cancel,tourCancellation
I am sorry I am going to have to cancel.,tourCancellation
I can't make my tour OR I need to cancel OR I won't be able to make it OR Please cancel my tour OR I can't make my tour,tourCancellation
I can't tomorrow I was wondering if you have any available for next Friday,tourCancellation
I can't visit my booked tour. apologies.,tourCancellation
I can't visit my scheduled tour. apologies.,tourCancellation
I cannot visit my booked tour. apologies.,tourCancellation
I cannot visit my scheduled tour. apologies.,tourCancellation
I have to cancel,tourCancellation
I have to cancel my family needs me today,tourCancellation
I have to cancel my tour today,tourCancellation
I have to cancel my virtual tour,tourCancellation
I want to cancel,tourCancellation
I will not visit community on my scheduled tour.,tourCancellation
I won't be able to reach for tour,tourCancellation
I'd like to cancel my tour please,tourCancellation
I'm sorry to say I will be canceling the appointment for the viewing. Thank you for your time.,tourCancellation
Okay thank you. Please cancel for tomorrow.,tourCancellation
please cancel my booked tour. Due to some issue I can't visit,tourCancellation
Please cancel the tour,tourCancellation
Please cancel this tour. Your prices increased and can no longer afford your complex.,tourCancellation
"Sorry about this but I have to cancel this appointment, I used Zillow to contact you but I was on 1490 pine not 1739, not sure why zilliow sent me to this address and not
The unit I was viewing",tourCancellation
Sorry for the inconvenience you can cancel my appointment for Monday I came by there Friday afternoon. The street in front of the apartments stay busy,tourCancellation
"Sorry, I like to cancel the tour.",tourCancellation
1 bed 1 bath with washer dry connects,unitAssignment
1 bedroom & 1 Bathroom whenever it's available,unitAssignment
1 bedroom 1 bathroom,unitAssignment
1 bedroom is fine however if two bedrooms 2 bath are available I want to look at those as well and by april8th if that's too soon then by the end of April no later than,unitAssignment
1 bedroom newly renovated and may 12,unitAssignment
1 bedroom next month,unitAssignment
"1 bedrooms , and 04/02/2022",unitAssignment
"1 person, 2 pets, maximum for rent is what I found listed on apartment list for that apartment which is 960 a month",unitAssignment
1bedroom,unitAssignment
1br for now an would upgrade to a two later,unitAssignment
1st option is good for me,unitAssignment
2 bed 2 bath,unitAssignment
2 bed 2 bath looking good for me,unitAssignment
2 Bed 2 Bath Preferably April 6th,unitAssignment
2 bedrooms,unitAssignment
2 bedrooms and I'm looking to move April 9,unitAssignment
2 bedrooms town home,unitAssignment
2 beds,unitAssignment
2 beds on or before 03/31,unitAssignment
2badrom,unitAssignment
2bdr 2 bath,unitAssignment
2nd option is good for me,unitAssignment
3 bedrooms move in time maybe or June,unitAssignment
"3 beds, 2 baths, and move in date april 21st",unitAssignment
"3, preferably 4 beds/ 2 baths",unitAssignment
3bedroom 2 bath,unitAssignment
5/14/2022 . & 2 beds,unitAssignment
600-800 move in date April 5 1 and 1 pet,unitAssignment
And I would need a 1 bedroom,unitAssignment
And if so how much are they going for?,unitAssignment
"And is this promotion still valid
I sent you an email about it . : $ 2500 REIMBURSEMENT FOR MOVE IN / FURNITURE COST AND NO APPLICATION FEE
Exclusions may",unitAssignment
And my move in date is late may,unitAssignment
Any downstairs and available for move by the 31 or the 1st of April and special anything without carpet,unitAssignment
Any openings for July as for a move in date ? If so we'd be more then happy to apply for the 1bed,unitAssignment
April 29th is my move in date. And two bedrooms one bath,unitAssignment
Are there 1 bedrooms,unitAssignment
could you send me the rent cost?,unitAssignment
Do u have one bedroom apartment available?,unitAssignment
do you have 2 bedroom avablity,unitAssignment
do you have 2/1 availability,unitAssignment
do you have 2x1 bedroom avablity,unitAssignment
"do you have any 3 bedroom
2 bath or 2 bedroom 2 barb available with a washer and dryer connection?",unitAssignment
Do you have any available?,unitAssignment
Do you have any one bedrooms available,unitAssignment
Do you have exact pricing on the units available? Can I see an available 1 and 2 bedroom unit on the tour?,unitAssignment
Do you have one bedroom apartment available,unitAssignment
Do you have rentals other than San Francisco,unitAssignment
For a 1-2 bedroom,unitAssignment
Hello 2300 is to much for me thank you though I am willing to go 2000 if you find anything,unitAssignment
Hello do you have a 2 bdrm and how much,unitAssignment
hello i was wondering the prices and availability,unitAssignment
"Hello I was wondering, how much is the rent there? For two bedrooms",unitAssignment
Hello I'm looking at your website and it's not showing any 2/2 for may or price's how much are your 2/2 and when will it be available?,unitAssignment
"Hello sorry, I'm still looking at apartments, I didn't realize I accidentally submitted something.",unitAssignment
Hello! I was interested To know what the short term lease they have and how much a 1 bedroom would be a month,unitAssignment
Hey I was wondering if you had any 2bedroom 2 baths maybe?,unitAssignment
"Hey so the link provided in the email you sent to me was for a studio apartment. I not interested in that unit. I am interested in the 3 bedroom, apt #312. Is this the unit you are planning to show me? Also the rent for this unit is $2,295/month correct?",unitAssignment
Hey yes I'm interested in the apartment,unitAssignment
"Hi Ryan , what is the price on this place?",unitAssignment
"Hi Ryan, Do you have 1br appartment for 6 months lease? What is the price?",unitAssignment
"Hi Ryan, I have a question. There are two prices listed on both apartments.com and the link in your email. What is the price for the studios ?",unitAssignment
"Hi! I'm still looking for a rental - anything max 1300 with utilities included, either a 1br/studio, and commuting distance to dogpatch",unitAssignment
"Hi. No, I just want two pieces of information. How much is the monthly rent for an apartment for a single person? Do you need credit to be able to rent?",unitAssignment
how much and when can i move in,unitAssignment
How much are your 1 bed rooms going for,unitAssignment
How much are your 2/2 & 3/2,unitAssignment
how much be the rent,unitAssignment
how much do -PRON- cost do -PRON- have -PRON- available on december,unitAssignment
How much do call the 2 bed 1bath,unitAssignment
How much for a 1bedroom 1 bath,unitAssignment
How much for a one bedroom?,unitAssignment
How much for I bed room 1bath,unitAssignment
How much for monthly rent again?,unitAssignment
How much is 3/2,unitAssignment
How much is it,unitAssignment
How much is it to move in,unitAssignment
How much is it?,unitAssignment
How much is that going for,unitAssignment
How much is the rent for a 1br apt?,unitAssignment
How much is the rent for one bedroom,unitAssignment
How much is the rent for the property?,unitAssignment
How much is the rent?,unitAssignment
How much is your one bed,unitAssignment
how much per month,unitAssignment
I am going to be moving to the area within the next month I would like to see what is you guys price range,unitAssignment
I am looking for 2 bedrooms and 2 bathrooms,unitAssignment
I am looking for 2 bedrooms and will move by april 9,unitAssignment
I am looking for 2 beds and 2 baths,unitAssignment
I am looking for 2 beds and two baths,unitAssignment
I am looking for 2bed 2 bath,unitAssignment
I am looking for 3 bedroom,unitAssignment
I am looking for a one bed one bath and my lease is up in May so sometime either before or in the beginning of may,unitAssignment
I am looking for two bedrooms and two bathrooms,unitAssignment
I am looking to move mid-may,unitAssignment
"I am still looking, what are the prices for 2 and 3 bedrooms?",unitAssignment
I like the 2x1 but i wanna look at the 1x1 too,unitAssignment
I need one room apartment and I'm planning to move asap,unitAssignment
I need this studio🥺,unitAssignment
I need to know how much the studios go for?,unitAssignment
I want to see 1 bdrm,unitAssignment
I was looking for at a 1 1/2 bathrooms,unitAssignment
I will let you know later today what day is best for me thanks,unitAssignment
I will want to move ASAP,unitAssignment
I would like to ask how much would it be for a 3bed room,unitAssignment
I would like to know how much is a 2b 2b?,unitAssignment
I would love to see the place.,unitAssignment
I'm looking for 1 bed and 1 bath,unitAssignment
I'm looking for 1 or 2 bed apartment,unitAssignment
I'm looking for a 1 bed 1 bath apartment for the start of may,unitAssignment
I'm looking for a 1 bedroom preferably on the b side,unitAssignment
"I'm looking for a 2BR, 2BA. Is there any available now?",unitAssignment
I'm looking to move in may 1,unitAssignment
I'm looking to see if you have any 3 bedroom 2 bath or 2 bedroom 2 bath with a washer and dryer connection available for immediate move in. and how much would the total move in be if so.,unitAssignment
If not ill take the 2 bedroom,unitAssignment
"If yes, how much is rent ?",unitAssignment
Im looking for 1 bed and 1 bath,unitAssignment
Im out of town working but im relocating in Houston an im looking for an nice quiet area. I would like to know the pricings for 1 bedroom & if they were updated,unitAssignment
Inwould like to know pricing for 2 bedroom floor plans,unitAssignment
Is a bit too early. I have to sell my house in Jersey. I don't know if I should buy or rent.,unitAssignment
Is the 2bd/1ba priced at $980?,unitAssignment
Is there an apartment ready to move in this week?,unitAssignment
It will be me and my 3 kids which are all under 8 years old. I make around $5200 per month but looking for something around or under 1200 a month.,unitAssignment
Just making sure that the property is $1425 a month?,unitAssignment
Just want to know more about the property. What units are available?,unitAssignment
"Kelsey, thank you for reaching out. I am looking for properties that are accepting 3rd party assistance payments.",unitAssignment
"KIPP Zenith 11000 Scott st. Houston, Tx is where my daughter will be attending school. And I’m working 6516 Westheimer rd. Is it possible that you can find some places between these two addresses? So far from the list I like Westchase Preserve, and Briarwood.",unitAssignment
Let me know your rates for the 2 bedroom. And does it include any bills ?,unitAssignment
looking for 1 bed and 1 bath,unitAssignment
monthly charges,unitAssignment
monthly cost for the place,unitAssignment
monthly rental,unitAssignment
"Moving June 2022
Budget $800-$1200 
One occupant
2 bedroom 1 or 2 bathrooms",unitAssignment
"My budget is $1200, move-in date is July 1st, and it will be 4 occupants",unitAssignment
My current place is a studio at 1600,unitAssignment
Not just yet. What are 2bd prices and what's include?,unitAssignment
"Obviously you didn't list any for Monday, but in case anything opens up please feel free to notify me",unitAssignment
Ok how about the one bedroom prices,unitAssignment
Okay an whats the difference between the one thats $720 & the $908,unitAssignment
One bed for now. Move in date may or June,unitAssignment
One bedroom 1 bath. May 6,unitAssignment
"One bedroom, one bath. If there's a two bedroom available I wouldn't mind seeing it but a one bedroom is fine. 
I'm hoping to move in by May 1",unitAssignment
One or a studio,unitAssignment
Or 2bed/1bath is ok as well,unitAssignment
Or a 2x1 what ever is cheaper,unitAssignment
Perfect! Whats the pricing on that,unitAssignment
Price for 1bedroom,unitAssignment
Price on the two bedroom ?,unitAssignment
price per month,unitAssignment
pricing for the apartments,unitAssignment
rent ?,unitAssignment
second looks fine to me,unitAssignment
sorry but is this studio for 3 people?,unitAssignment
Studio and 1 bedroom,unitAssignment
Sure. Budget of around. 700-800-900$ & only 1.,unitAssignment
tell rent,unitAssignment
Thank you! I saw In the email that the studio is listed at $2500 but in real listing I saw it was $1345,unitAssignment
Thank you! One more q would I be able to see a two bed room too and also what is the price diff,unitAssignment
"Thanks you! My budget is 1300. It will be my wife, daughter and I. I don't have any pets.",unitAssignment
The payment for parking is separate?,unitAssignment
There's was no price on these two what are the prices,unitAssignment
uinit 1 looks for good for me,unitAssignment
unit 1 is good for me,unitAssignment
unit 2 is good for me,unitAssignment
unit 2 works for me,unitAssignment
We are looking for a 3 bedroom and 2 bathrooms and want to move by June or July.,unitAssignment
what about studio apartments?,unitAssignment
what be the price,unitAssignment
what be the rent and when can i move,unitAssignment
What is monthly rent ?,unitAssignment
What is the actual price monthly for the studio?,unitAssignment
What is the price for a two bed room apartment?,unitAssignment
"What is the rent for 1 bedroom and studio, with washer ad dryer.",unitAssignment
What is the rent for the 1 bedroom and location?,unitAssignment
what is the rent??,unitAssignment
What Studios do you have available in the mission district?,unitAssignment
What was the price again ?,unitAssignment
"What would be the down payment , monthly payment and if the utilities are included",unitAssignment
What's the best option for me in the mission for a studio?,unitAssignment
What's the current rent for a studio?,unitAssignment
What's the price difference for 1 bedroom for all three leases?,unitAssignment
What's ur price on the 1 bedrooms,unitAssignment
When can I come see the apartments and I wanted to inquire if you might have a 3 bedroom available,unitAssignment
when do -PRON- have the place for rent and how much be -PRON-,unitAssignment
Y'all don't have anything available for may,unitAssignment
Yes but not until late August. What was the price?,unitAssignment
Yes for both of the price is same or different,unitAssignment
Yes how many one bedroom do you have available and if I'm approved how soon would I be able to move I,unitAssignment
Yes I am looking for a 2 bd,unitAssignment
Yes I wanted to know the payment and requirements for moving in for a studio or 1 bd/1bath,unitAssignment
Yes I was inquiring about your 2 bedrooms how much are they ? & is there any available,unitAssignment
Yes if you have a 3/2 available downstairs now for rent.,unitAssignment
"Yes j wanted to see pics of the 2 and 3 bedroom,",unitAssignment
"Yes Kelsey, its there any 2 bedrooms available",unitAssignment
Yes ma'am I wanted price and information on a 22 or 21 available May 1 deposit application fees and requirements to get into apartment thank you so much,unitAssignment
"Yes please , I'm Interested to lease a apartment by April 1 , looking for a 2B apt",unitAssignment
Yes please. I need a downstairs apartment also,unitAssignment
Yes that's fine.. February! 1 bed/ 1bath. No children nor pets.,unitAssignment
Yes was looking for a 3 bedroom but it seems you are fresh out when i search on the website,unitAssignment
Yes was looking for a med/large 1bdrm or small 2bdrm need prices and availability,unitAssignment
Yes what is the availability you guys have ?,unitAssignment
"Yes, I was wondering what are you guys 2 bed rooms releasing for ?",unitAssignment
"Yes, more info on price and availability.",unitAssignment
Yes. An efficiency or 1 bedroom. Not too much money tho.,unitAssignment
Yes. I am available. I ma looking for something between 550 to 620. Are there any other units available?,unitAssignment
When will you have open space?,unitAssignment
I'm in montana I'm looking for a place I can move into when I get down there,notAvailableInPerson
12:00 PM,tourBooking
3:00 PM,tourBooking
1,unknown
2,unknown
12,unknown
1-May,tourBooking
?,unknown
0-bcce-26e6dd5fb92e&bsft_pid=fce702a5-625b-4905-84b9-ff13b512ee06&utm_campaign=1-week-reminder-for-viewed-in-last-day&utm_source=blueshift&utm_medium=email&bsft,unknown
1 adult 4 kids,unknown
70 per Person ??,unknown
A tour of that pussy,unknown
Additional info.,unknown
Additional information,unknown
am i booked?,unknown
And is it refundable if not approved? Or applied to rent if approved. Any move in specials?,unknown
And nothing included,unknown
Are all bills paid,unknown
Around 10:30 ?,tourBooking
Been working with John and Gustavo,unknown
"Bueno tardes, nesecito ser una cita para un apto de tres avitaciones, este numero me lo dio una amiga",unknown
Came Saturday be back on Monday,unknown
can I ask who this is?,unknown
Can I go head do app,unknown
Can you call me tomorrow,unknown
Can you give me a call?,unknown
Cancel only,tourCancellation
"convenient time I can reach you after that, please let me know! Thank you!",unknown
Could you send me information ?,unknown
Dirección por favor,unknown
"Disculpe el precio que me enviaron que incluye, o hay que pagar el agua y otras cosas aparte",unknown
Do u take second chance people,unknown
Do you have an earlier time,unknown
Do you have other properties ?,unknown
feedback survey. Please inform the office before lease signing.,unknown
Get you some sleep god,unknown
Good morning I do my application a couple of days ago trying to see is my status,unknown
Good- thank you 🙏,unknown
GOODAY do pictures of the place my bed is a cal.king,unknown
Haven't had the tour yet,unknown
Haven't taken a tour yet,unknown
He didn't call me and i already send him voice mail,unknown
hear*,unknown
"Hello Kelsey! My apologies been such a busy week. I actually scheduled a tour via email for Saturday (reply via sfrent.net)
I found the listing via hotpads. Should I just have scheduled with you instead?",unknown
Hello Ryan Let me check and I will let you know Thanks,unknown
Hello- waiting in the lobby,unknown
Hello. Sorry I'm currently in class (I'm a teacher),unknown
Hey can I call you,unknown
Hey I put in an application I wanted to check the status,unknown
Hey! Thanks for reaching out. I won't be able to until next week,notAvailableInPerson
Hi I'm here at the office,unknown
Hi Kelsey I'm Angela it's my information that should be attached to everything. My wife Brenda sent everything in for me. I live in Missouri and she's already moved to Texas so yes I am trying to get Situated so I can move,unknown
Hi Kelsey thank you for reaching out. How soon do new tenants typically sign leases?,unknown
"Hi Kelsey,
Ryan actually scheduled me for the open house tour @3:30 tomorrow.
I do appreciate your out reach.
Thanks so much,
Jayson",unknown
"Hi Kelsey, I called you a few minutes ago, and we agreed to call again on 29th of march",unknown
"Hi Kelsey, I reached out to the leasing office and got to know that prices are upgrading. So I was wondering if I book earlier, would I get the prices mentioned in the website? 
Thanks a lot",unknown
"Hi Kelsey, I will be in area April 20,-22",tourBooking
"Hi Kelsey! I apologize for missing your calls yesterday. If you give me a time to reach out to you, that would be great! I get off work at 3:30 p.m. so whatever",unknown
Hi Kelsey. I would love my information. I just tried calling.,unknown
Hi Kelsey. Would that still be possible?,unknown
Hi Mrs. Kelsey I would love that but I do have some questions.,unknown
"Hi Ryan, is Marymount Iris the same as Iris garden? I came here, but apartment 3 is locked, both at 611 and 614 Iris street, cannot get through to Gwen",unknown
"Hi Ryan, thanks for reaching out. Not quite yet but I'm considering. 

I wanted to ask where the bathrooms and showers are, also the cost of the rent and deposit. Do you allow students to stay at your apartments?",unknown
Hi there! Waiting to hear back from my friend regards getting a place. I was actually helping her to find one. Let you know. Thank you!,unknown
"Hi, is this regarding a studio apartment?",unknown
"Hi, sorry for the late response. I just seem that I'm not qualified, because my income is not enough.",unknown
"Hi, yes can i have more info.",unknown
Hola,unknown
Hola me interesa información adicional,unknown
Hopefully I can remove they are in all your units,unknown
How far are u guys from Rosharon tx or pearland,unknown
How late are you open?,unknown
How*,unknown
I also have someone coming with me I'm referring,unknown
I am working at this time,unknown
I appreciate you responding,unknown
I called the # and SF rent answered Marcus,unknown
I can come then,unknown
I can go right after the post one,unknown
I can't,unknown
I can't afford that.i barely bring home 2400 a month,unknown
I cannot..I work during those hrs..im off work at 830pm,unknown
I definitely would,unknown
I got a quote already,unknown
I have a question,unknown
I have all the required documentation,unknown
I have no pets my income is like 2500 I believe and 5 occuppants,unknown
I have pay stubs will you be able to get me in if approved in by the end of the month or sooner,unknown
I I got to go my turn,unknown
I I'll get this too right,unknown
I just need a place for me my new Bron please,unknown
I just started new job and in Sunnyvale I am there Saturday and Monday 11-3,unknown
I keep getting text,unknown
I live in alameda county. You can help ok thanks,unknown
I looked at the photos already.,unknown
I really need a w/d connections. Thank you,unknown
i think we are good,unknown
I thought y'all had other properties like you guys were connected?,unknown
I tried to come before 3pm today.,unknown
I try to call but no answer,unknown
I was looking for a all bills paid apartment but it really didn't say if it is or not,unknown
I will be back in Southern California by then. I will be in Oakland tomorrow after 3pm and leaving Thursday afternoon,unknown
I will get in touch with you next week.,unknown
I will have to check my work schedule and let you know.,unknown
I will let my friend know and see what she says. Thank you!,unknown
I will let you know by the end of next week!,unknown
"I will, thank you!",unknown
I won't be available this Saturday,unknown
"I work for Ambit Energy and wanted to let you know about our customer referral program. Each resident you send to me that signs up for electricity service, our team can pay you $50 for each one!",unknown
I would like more information before I schedule a tour,unknown
I would like to!,unknown
I would not feel safe letting my wife walk alone there.,unknown
I would!,unknown
I'd rather wait a bit later when I'm closer to finishing. I understand the availability will be different but I'd still like to wait,notAvailableInPerson
I'll head over there after work,unknown
I'll keep looking thanks so much,unknown
I'm available,unknown
I'm Googling it now,unknown
I'm heading there now to look at a one bedroom.,unknown
"I'm here now with Nora, thank you",unknown
I'm not in the area right now. I came out of town to see family I don't want to see the place I've seen photos already. Just need to do the application,unknown
I'm sorry imma try in come in today,unknown
"I'm sorry, I take that back, we were just alerted that we're reopening, darn.",unknown
I'm sorry. I was working.,unknown
I'm trying but I cannt log in,unknown
I'm trying to complete the application online but it keeps saying to fill out all of the required information but I have filled out all information fields,unknown
I'm viewing property this Saturday,unknown
If that's possible,unknown
"If you would prefer to discuss the details by phone, I'll be available for calls later this evening. Looking forward to hearing back from you!",unknown
Im coming up from Southern California,unknown
Is mornings available,unknown
Is scheduling a tour at 6 am moral ?,unknown
It's okay thank you,unknown
It's would have to be on the 4th of April,unknown
Just looking for potential apartments,unknown
Just want to follow up if he is waiitng for me,unknown
La ubicación,unknown
Last but not least the bunk bed has got to go,unknown
"Le gustó “Hola Kelvyn. Fue genial hablar contigo por teléfono antes. He confirmado tu visita para el 2022-03-26 a las 2:30 PM. Para su demostración por favor nos encontramos en la oficina de El Sol Del Río en 14405 Río Bonito, Houston, TX, 77083. También enviaré una confirmación con direcciones en la mañana de su tour. Si tiene alguna pregunta, no dude en ponerse en contacto conmigo a través de un mensaje de texto aquí. Gracias y que tenga un buen día!”",unknown
Let me check it out and I'll let you know,unknown
Let me get back to you on that!,unknown
Let me get back to you. Ur address is not directly on public transportation. So am i trying to find something on it.,unknown
Let me know I'll send app,unknown
Liked “Yes the promotion is still on going.”,unknown
Llegue a las 3 y me indican que están cerrados y que no me pueden atender ..,unknown
Many thanks,unknown
Maybe before that,unknown
"meaning in great shape, breath able",unknown
Melodie🧖‍♀️Kay🏇Hiller🤸I 🚶🏾‍♀️am🧖‍♀️63 Birthday is in 12 30 1957 to12 30 2020 was my birthday I get 800$Dollers🚶🏾‍♀️Brandi 🧖‍♀️Page🤸her🧖‍♀️bithday4 21 1995 is her birthday🤸she gets700$Dollers🧖‍♀️she about to be 26on4 21 2021,unknown
Muchas gracias feliz tarde amigo !!,unknown
My credit is not good,unknown
Never,unknown
No,unknown
No answer,unknown
No I'm thinking of moving in may or June,unknown
No something came up I have to take care of it,unknown
Nope,unknown
Not yet,unknown
Oh big bug,unknown
"Oh hello and good morning! I have been offered a job in the Galleria area and really liked your complex. However, I would be looking to move until about July, as I am currently in South Carolina.",unknown
"Oh nevermind , sorry I just received your email ! I will complete that information & get it back to you soon",unknown
Oh no I'll be at work until 5;30,unknown
Oh no worries,unknown
Oh ok thanks!,unknown
Oh ok yea I never got a link but i would like to do that,unknown
Oh ok yes I don't have any pets at the moment only one occupant,unknown
Ok but yesterday I was told 30th of May is available and was told if an earlier date in May comes up I will be contacted. I understand the 1st come 1st serve basis. I just need to know a date so I can come in. Thanks,unknown
ok great! thank you so much ryan,unknown
Ok just making sure cause I planned on paying online! An 3x the rent so that should be like 3000 a month then?,unknown
Ok ya voy para allá,unknown
Okay I'll go ahead and call him thank you!,unknown
Okay mañana puedo de 10am a 1pm,unknown
Okay thank. I apologize for not getting back to you quickly. Moving is not fun when it's just you.,unknown
"Okay, let me get back to you in the morning when I get off. I'll be sure to stay up until I talk to you",unknown
Okay! I can take a look at them.,unknown
Oky thankes good,unknown
On 1st floor,unknown
On tomorrow morning,unknown
Please give me a call for questions. Thank You,unknown
Por el 313,unknown
Quería saber si puedo moverme hoy mismo?,unknown
"Questioned “Hi Tandra, this is Kelsey reaching out because I saw you submitted an inquiry for Stratford House Apartments. Would you like to schedule a tour or know any additional information?”",unknown
Questioned “I've scheduled you for 6 PM viewing on Tuesday 02/23/21. See you there! Take care.”,unknown
"Really wish y'all did , but that's okay . You have a good day as well",unknown
Removed a question mark from “I've scheduled you for 6 PM viewing on Tuesday 02/23/21. See you there! Take care.”,unknown
"Ryan , Thank you for showing the room for me ...I will call again soon ...",unknown
Santa Clara is closer I work in Hayward at the Pepsi plant,unknown
Should unarchive AGAIN,unknown
Show much is move in?,unknown
Si estoy buscando apartamento de 3 recamaras Kelsey,unknown
Si la verdad me interesa cuánto es la renta y que necesito y para cuándo está disponible,unknown
So 95 total?,unknown
So I have a lease rn that ends in may,unknown
So me dijeron q esta listo y me lo enseñaron,unknown
So no bills paid,unknown
So will he approve if we tried to get that apartment?,unknown
Sorry but I understood that the tour was canceled.,unknown
Sure but you know we are moving in may at most,unknown
Testing again,unknown
Thank you ! Do you know when they will be getting I. Touch with me ?,unknown
Thank you so much for getting back to me! one of my house mates may be able to make that showing time! let me check in with them and get back to you,unknown
"Thank you, when we get to the place will this person be there?",unknown
Thank you. Cam you please explain what the “move in/furniture cost reimbursement “ means?,unknown
The 23rd is Wednesday,unknown
The unit have carpet,unknown
Then with all the other money I get and help from my dad I'll be able to afford everything :),unknown
Tienen apartamentos disponibles de 2 recámaras,unknown
Together $3600 a mouth,unknown
"Total move in $$,also if it is all bills paid",unknown
trust me i cant afford nothing in the bay area unless i can be a maintenance man after i get off my job🤦🏾‍♂️😂🤣😂but thanks tho,unknown
"Ty sure, i will once im back ty again",unknown
Um sure for tomorrow I have a bunch of tours tomorrow so I can let you know that whenever I'm done with those thank you,unknown
We are applying now,unknown
We we're heading from another place in Oakland,unknown
What kind of rental,unknown
What property,unknown
What time?,unknown
What time? When?,unknown
when are those available?,unknown
who is this,unknown
Why are you texting me this late?,unknown
Works the best,unknown
Wrong direction,unknown
Wrong number,unknown
Y cuanto debo pagar d renta?,unknown
Yeah if that's the earliest you got then that works,unknown
Yes I have a couple of questions.,unknown
Yes I just called they have nothing until maybe May .,unknown
Yes I like idea went we can do ?,unknown
"Yes I will possibly interested in a virtual tour eventually, but just looking for more info for now. I viewed your photos and love the atmosphere. My family and I will be moving to Houston from NY in May and are looking to secure housing before we arrive. I would like to know if we can apply from here using our current paystubs or is it required that we are Houston residents with Houston paystubs first?",virtualTour
Yes when I just called they said they are not doing tours,unknown
"Yes, I am looking for a rental in the right location.",unknown
"Yes, perhaps later today or tomorrow.",unknown
Yes. I got one.Thanks.,unknown
You can call me any time today,unknown
"your friend. No worries, Let's get you a safe location and a peaceful",unknown
